Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1992	0	0	0	0	0	0	0.00213	0.00462	0.0100	0.0215	0.0456	0.0942	0.184	0.330	0.506	0.572	0.637	0.696	0.750	1
1993	0	0	0	0	0	0	0.00776	0.01674	0.0357	0.0746	0.1491	0.2760	0.453	0.549	0.612	0.672	0.726	0.775	0.817	1
1994	0	0	0	0	0	0	0.01609	0.03435	0.0718	0.1441	0.2681	0.4434	0.595	0.716	0.812	0.881	0.927	0.956	0.974	1
1995	0	0	0	0	0	0	0.02747	0.05790	0.1179	0.2253	0.3875	0.5653	0.711	0.824	0.899	0.944	0.970	0.984	0.991	1
1996	0	0	0	0	0	0	0.00463	0.01002	0.0216	0.0457	0.0944	0.1849	0.330	0.508	0.590	0.668	0.738	0.798	0.846	1
1997	0	0	0	0	0	0	0.01741	0.03711	0.0773	0.1542	0.2840	0.4632	0.548	0.605	0.660	0.711	0.757	0.798	0.833	1
1998	0	0	0	0	0	0	0.01514	0.03235	0.0678	0.1366	0.2561	0.4282	0.559	0.650	0.731	0.799	0.854	0.895	0.926	1
1999	0	0	0	0	0	0	0.02198	0.04662	0.0961	0.1879	0.3348	0.5077	0.573	0.636	0.694	0.747	0.793	0.833	0.867	1
2000	0	0	0	0	0	0	0.02329	0.04932	0.1014	0.1971	0.3481	0.5215	0.630	0.727	0.806	0.867	0.910	0.941	0.961	1
2001	0	0	0	0	0	0	0.00976	0.02099	0.0446	0.0921	0.1808	0.3243	0.504	0.569	0.632	0.691	0.744	0.791	0.831	1
2002	0	0	0	0	0	0	0.02167	0.04598	0.0949	0.1857	0.3316	0.5042	0.546	0.588	0.628	0.667	0.703	0.738	0.769	1
2003	0	0	0	0	0	0	0.02469	0.05220	0.1070	0.2067	0.3618	0.5157	0.574	0.629	0.682	0.730	0.774	0.812	0.845	1
2004	0	0	0	0	0	0	0.02627	0.05544	0.1132	0.2174	0.3767	0.5135	0.552	0.589	0.626	0.661	0.694	0.726	0.755	1
2005	0	0	0	0	0	0	0.01936	0.04118	0.0854	0.1689	0.3066	0.4903	0.553	0.608	0.660	0.708	0.752	0.791	0.826	1
2006	0	0	0	0	0	0	0.00622	0.01344	0.0288	0.0606	0.1230	0.2338	0.399	0.529	0.589	0.646	0.699	0.748	0.791	1
2007	0	0	0	0	0	0	0.01808	0.03852	0.0802	0.1594	0.2920	0.4729	0.637	0.772	0.867	0.926	0.960	0.979	0.989	1
2008	0	0	0	0	0	0	0.01457	0.03117	0.0654	0.1321	0.2488	0.4188	0.554	0.645	0.726	0.794	0.849	0.892	0.923	1
2009	0	0	0	0	0	0	0.01784	0.03801	0.0792	0.1575	0.2892	0.4695	0.604	0.716	0.806	0.873	0.919	0.949	0.969	1
2010	0	0	0	0	0	0	0.01680	0.03585	0.0748	0.1496	0.2768	0.4544	0.545	0.602	0.657	0.708	0.754	0.795	0.830	1
2011	0	0	0	0	0	0	0.01207	0.02589	0.0546	0.1117	0.2148	0.3731	0.523	0.591	0.657	0.716	0.769	0.815	0.853	1
2012	0	0	0	0	0	0	0.01971	0.04191	0.0869	0.1715	0.3105	0.4949	0.588	0.673	0.748	0.811	0.861	0.899	0.928	1
2013	0	0	0	0	0	0	0.00346	0.00751	0.0162	0.0346	0.0722	0.1449	0.269	0.445	0.632	0.785	0.886	0.943	0.973	1
2014	0	0	0	0	0	0	0.01207	0.02589	0.0546	0.1117	0.2148	0.3731	0.523	0.591	0.657	0.716	0.769	0.815	0.853	1
2015	0	0	0	0	0	0	0.01207	0.02589	0.0546	0.1117	0.2148	0.3731	0.523	0.591	0.657	0.716	0.769	0.815	0.853	1
2016	0	0	0	0	0	0	0.01207	0.02589	0.0546	0.1117	0.2148	0.3731	0.523	0.591	0.657	0.716	0.769	0.815	0.853	1
